RachisFW;PetiolFW;RachisLength;PetioleLength;WidthC;ThickC
2950.4;1914.2;535;94;6.5;4
2543.1;2041.3;558;116;6;3
2976.2;1999.8;539;104;6;3.5
2769.4;2443.9;557;126;6.5;3.8
2884.2;2801.5;554;132;6.5;4
2014.2;3066.1;550;135;6;4.1
2484.2;2857.3;535;137;6.5;4.1
2215.2;2644.2;542;130;6;4
2388.2;2556.3;530;136;6.3;3.5
1946.1;2671.3;507;129;6.2;4
3452.2;2927.4;518;139;6;4.1
2498;1278;488;80;6.2;4.1
2501;2036;475;112;6.5;3.5
2347;2037;475;112;6.6;3.4
2302;2246;481;107;6.3;3.5
2315;2283;475;135;6;4
2221;2386;490;122;6.8;3.5
2189;2407;498;127;6.3;3.5
2126;2279;491;121;6.2;3.5
2315;2618;500;136;6.1;3.1
1796;2303;470;135;6.6;3.5
1515;2027;507;130;7;3.1
1440;1760;430;125;5.5;3.5
1510;1511;478;122;5.8;3.6
1563;1826;428;126;5.8;3.6
1429;2225;383;130;7;3.2
1231;1854;384;110;5.4;3.5
2186.5;1694.4;482;126;7;3.8
2122;2311.6;490;143;7;3.9
1956.4;2260;501;152;7;3.8
2013.4;2216.5;468;148;7;3.8
2216.5;2615.6;475;149;7;3.9
